"","Gene"
"517","Nnat"
"518","Ptprk"
"519","AW551984"
"520","LOC102636808"
"521","Cdh20"
"522","Id3"
"523","Prss12"
"524","Nppc"
"525","Svil"
"526","Igfbp5"
"527","Grm1"
"528","Prr16"
"529","Tnfaip8l3"
"530","Id2"
"531","Ramp1"
"532","Vax1"
"533","Cp"
"534","Sostdc1"
"535","Gpc3"
"536","Sall1"
"537","Medag"
"538","Pxdc1"
"539","LOC105245487"
"540","Sema5b"
"541","Wnt7a"
"542","Igfbp4"
"543","Fbln2"
"544","Trpc6"
"545","Cpne6"
"546","Spock1"
"547","Slc5a7"
"548","Tpbg"
"549","Angpt1"
"550","Kcnmb4"
"551","Sox3"
"552","Ostf1"
"553","Cidea"
"554","LOC105247151"
"555","Cited1"
"556","Wnt5b"
"557","Pmepa1"
"558","Nrp1"
"559","Zfp385b"
"560","Chrna7"
"561","Pde3a"
"562","Mab21l1"
"563","Stk32a"
"564","Pou3f4"
"565","Crlf1"
"566","Rnf138rt1"
"567","Nrtn"
"568","Arpp21"
"569","Slc18a3"
"570","Sfrp2"
"571","Rprm"
"572","Calcrl"
"573","Lmo1"
"574","Pnoc"
"575","Ctxn1"
"576","Myl1"
"577","Scn7a"
"578","Has2os"
"579","Ptgds"
"580","Ret"
"581","Hs3st2"
"582","Ano4"
"583","Chat"
"584","Rspo4"
"585","Aebp1"
"586","Rspo1"
"587","St3gal1"
"588","Id4"
"589","Lypd1"
"590","Rasgrf2"
"591","Plcz1"
"592","Ryr3"
"593","Gsx2"
"594","Cbln4"
"595","Oxtr"
"596","Rnf144b"
"597","Igfbp7"
"598","Cdh7"
"599","Col24a1"
"600","Ntm"
"601","Nrsn2"
"602","Klhl40"
"603","Pcdh11x"
"604","Adrb1"
"605","Itih5"
"606","Mybpc1"
"607","Tpm2"
"608","Fibcd1"
"609","Rgma"
"610","Pfkfb3"
"611","Itga4"
"612","Sema3c"
"613","Neto2"
"614","5033421B08Rik"
"615","Kcne4"
"616","Adarb2"
"617","Dlx6os1"
"618","Nfix"
"619","Nfib"
"620","Lrrc4c"
"621","Galntl6"
"622","Kcnq5"
"623","Atp1b2"
"624","Nr2f1"
"625","Vstm2l"
"626","BC030500"
"627","Prmt8"
"628","Sst"
"629","Crhbp"
"630","Chodl"
"631","Sox6"
"632","Tacr1"
"633","Bace2"
"634","Rln1"
"635","Gpr126"
"636","Rbp1"
"637","9330158H04Rik"
"638","Insl6"
"639","P2rx2"
"640","St6galnac2"
"641","Sit1"
"642","Krt18"
"643","Ada"
"644","Gcnt1"
"645","Clic1"
"646","Carhsp1"
"647","LOC105243551"
"648","Gabrg1"
"649","Hcrtr1"
"650","Ifi35"
"651","Lgals1"
"652","Ccdc109b"
"653","Rasgef1b"
"654","Chrm2"
"655","Fndc1"
"656","Cdhr1"
"657","Man1a"
"658","Lypd6b"
"659","Bcam"
"660","Lypd6"
"661","Cnr1"
"662","Slc1a2"
"663","Sorcs3"
"664","Tac1"
"665","Moxd1"
"666","Rxfp3"
"667","Tacr3"
"668","Kctd8"
"669","Klf5"
"670","Fosb"
"671","Dab2"
"672","Tmem132c"
"673","Fam135b"
"674","Eya1"
"675","Pla2g5"
"676","Nxph2"
"677","Nefl"
"678","Tmem44"
"679","St3gal6"
"680","Filip1"
"681","Akr1c18"
"682","Fam150b"
"683","Satb1"
"684","Sema3a"
"685","Rgcc"
"686","Mme"
"687","Zfp536"
"688","Sez6"
"689","Dab1"
"690","Gabra2"
"691","Rprml"
"692","Spon1"
"693","Rassf10"
"694","Timeless"
"695","Prkg2"
"696","C1qtnf7"
"697","Barx2"
"698","Tnni3k"
"699","LOC101055754"
"700","Etv1"
"701","Grik3"
"702","LOC105243425"
"703","Slc27a2"
"704","Erbb4"
"705","Tenm1"
"706","Myh8"
"707","Gpx3"
"708","Cartpt"
"709","Mgat4c"
"710","Gdf7"
"711","AF529169"
"712","Emilin2"
"713","Htr1d"
"714","Amn"
"715","Casz1"
"716","Nog"
"717","Ifit3"
"718","Eya4"
"719","Gpr83"
"720","BC030867"
"721","Ifit1"
"722","Cacna2d2"
"723","Runx1t1"
"724","Pdyn"
"725","Unc13c"
"726","Prokr2"
"727","A930003A15Rik"
"728","Lama4"
"729","Rtp4"
"730","Abtb2"
"731","Pcsk5"
"732","Sh3bgrl"
"733","Gabra4"
"734","Gabrb1"
"735","Prdm1"
"736","Hpse"
"737","4930426D05Rik"
"738","Klhl14"
"739","Npnt"
"740","4930452B06Rik"
"741","Tunar"
"742","1700086L19Rik"
"743","Frmd4b"
"744","LOC102633357"
"745","Col11a1"
"746","Ascl2"
"747","I830012O16Rik"
"748","Baiap3"
"749","Glra3"
"750","Ffar4"
"751","LOC105245003"
"752","Cdc42ep5"
"753","Il1rapl2"
"754","Plcxd3"
"755","Chrna2"
"756","Myh4"
"757","Wnt16"
"758","Stk32b"
"759","Gfra2"
"760","Rgs9"
"761","Fam189a1"
"762","Ptgdr"
"763","Paqr5"
"764","Sbspon"
"765","Efemp1"
"766","Rgs10"
"767","Tacstd2"
"768","9630002D21Rik"
"769","4930500J02Rik"
"770","Grm3"
"771","Myo1b"
"772","Crygs"
"773","Dmrt2"
"774","Tmcc3"
"775","Kcnmb4os2"
"776","Crhr2"
"777","Esm1"
"778","3110035E14Rik"
"779","2610042L04Rik"
"780","Oprk1"
"781","Prkcq"
"782","4930553C11Rik"
"783","Fam114a1"
"784","Mc4r"
"785","Caps2"
"786","Pard3b"
"787","Chrnb3"
"788","C1ql3"
"789","Gxylt2"
"790","Fbln5"
"791","Layn"
"792","B3gat1"
"793","Th"
"794","Nts"
"795","Spp1"
"796","Gabrq"
"797","Glipr1"
"798","Hspb3"
"799","Cmtm8"
"800","Mustn1"
"801","Clec18a"
"802","Rasgrf1"
"803","Dlx1as"
"804","Cplx2"
"805","Rph3a"
"806","Lgi1"
"807","Pth2r"
"808","Il7"
"809","LOC102634900"
"810","Corin"
"811","Tcap"
"812","Slit2"
"813","Tmem100"
"814","Nr4a2"
"815","Myof"
"816","Sag"
"817","Creb3l2"
"818","Lpl"
"819","Ch25h"
"820","Frmpd1"
"821","Gap43"
"822","Igf1"
"823","Adamtsl5"
"824","Lrrc38"
"825","Syt2"
"826","Bcan"
"827","Gpnmb"
"828","Gprc5b"
"829","Rspo2"
"830","Prss23"
"831","Fam129a"
"832","Fzd6"
"833","Pygm"
"834","Adamts8"
"835","Arap2"
"836","Snca"
"837","Tmsb10"
"838","Syt5"
"839","Zcchc12"
"840","Agpat4"
"841","6330403K07Rik"
"842","Acan"
"843","Gng5"
"844","Flt3"
"845","Ostn"
"846","Man1c1"
"847","Dhrs3"
"848","Bag3"
"849","Gpr125"
"850","Mn1"
"851","Gng13"
"852","C1ql1"
"853","Lrrc17"
"854","Plekhd1"
"855","Adamts15"
"856","Gad1"
"857","Slc6a1"
"858","Gad2"
"859","Kcnip1"
"860","Slc32a1"
"861","Maf"
"862","Dlx1"
"863","Nrip3"
"864","Rpp25"
"865","Rbms3"
"866","Dlx5"
"867","Arl4c"
"868","Arx"
"869","Nrn1"
"870","Lingo1"
"871","Slc17a7"
"872","Itpka"
"873","Fst"
"874","Egr3"
"875","Rtn4rl2"
"876","Meis2"
"877","Bdnf"
"878","Baz1a"
"879","Kcnv1"
"880","Otof"
"881","Mas1"
"882","Nefm"
"883","Ptgs2"
"884","9130024F11Rik"
"885","Rrad"
"886","Ptk2b"
"887","Rtn4r"
"888","Ankrd33b"
"889","Neurod2"
"890","Atp2b4"
"891","Satb2"
"892","Kctd4"
"893","LOC102634502"
"894","Grasp"
"895","Tbr1"
"896","Rgs14"
"897","Gpr88"
"898","B230216N24Rik"
"899","Egr4"
"900","Neurod1"
"901","Rasl10a"
"902","Cobl"
"903","Nptx1"
"904","Tesc"
"905","Lhx2"
"906","BC030499"
"907","Wnt4"
"908","A830009L08Rik"
"909","Mdga1"
"910","Neurod6"
"911","Agmat"
"912","Stard8"
"913","Igfn1"
"914","Fhl2"
"915","Cpne9"
"916","Spock3"
"917","Pcp4l1"
"918","Aldh1a3"
"919","Pou3f1"
"920","Capn3"
"921","Zfhx4"
"922","Ppp1r1b"
"923","S100a3"
"924","Slfn2"
"925","Aldh3b1"
"926","S100a6"
"927","Emx2os"
"928","Emx2"
"929","Smoc2"
"930","Ppp1r36"
"931","Dmkn"
"932","Lrg1"
"933","Tmem215"
"934","F2rl2"
"935","LOC105243894"
"936","Ddit4l"
"937","Crym"
"938","Olfr78"
"939","Tnnc1"
"940","Rmst"
"941","Pter"
"942","Klf10"
"943","Adcyap1"
"944","Rorb"
"945","Dkkl1"
"946","Slc17a6"
"947","Adora1"
"948","C030013G03Rik"
"949","Pamr1"
"950","Arc"
"951","Grm2"
"952","Fezf2"
"953","Endou"
"954","BC006965"
"955","Coch"
"956","Plxnd1"
"957","Dtl"
"958","Tgm3"
"959","Chst8"
"960","Myl4"
"961","Batf3"
"962","Arhgap25"
"963","Blnk"
"964","Col6a1"
"965","Pdlim1"
"966","Colq"
"967","Npc1l1"
"968","LOC105244779"
"969","Ovol2"
"970","S100b"
"971","Wfdc18"
"972","Fgf17"
"973","Pstpip1"
"974","4933427G17Rik"
"975","Hgf"
"976","Aldh3b2"
"977","LOC105245815"
"978","Wfdc17"
"979","Susd5"
"980","Cyp26b1"
"981","Hpgd"
"982","B3gnt8"
"983","Spink8"
"984","Aldh1a7"
"985","Cpa6"
"986","Camk2n2"
"987","Rxfp2"
"988","Rcan2"
"989","Gkn1"
"990","Ccdc3"
"991","5330416C01Rik"
"992","Tgfb1"
"993","Prss35"
"994","Sulf1"
"995","Ctsc"
"996","Osr1"
"997","Slc26a4"
"998","Ntn5"
"999","Cd7"
"1000","H2-T23"
"1001","Cckbr"
"1002","Cxx1a"
"1003","LOC105245190"
"1004","Slit3"
"1005","Col23a1"
"1006","Col18a1"
"1007","LOC105246064"
"1008","Tmem163"
"1009","Kcng1"
"1010","A830029E22Rik"
"1011","Krt1"
"1012","Timp2"
"1013","Car3"
"1014","Gtf2a1l"
"1015","Car1"
"1016","LOC105246048"
"1017","Cbln1"
"1018","Casp12"
"1019","Ntng2"
"1020","Nmb"
"1021","Gfra1"
"1022","Ctxn3"
"1023","Car12"
"1024","Trem2"
"1025","Npbwr1"
"1026","BB557941"
"1027","6530402F18Rik"
"1028","Helt"
"1029","Dner"
"1030","Otx1"
"1031","Chrna6"
"1032","2310002F09Rik"
"1033","Fn1"
"1034","Klk9"
"1035","Klk8"
"1036","Vgll3"
"1037","Fam84b"
"1038","Vsig2"
"1039","Grp"
"1040","Lyz2"
"1041","Scml2"
"1042","9930014A18Rik"
"1043","Syt9"
"1044","Wwtr1"
"1045","Erg"
"1046","Tnfaip8"
"1047","Stk17b"
"1048","LOC105245960"
"1049","Sftpc"
"1050","Npr3"
"1051","Fndc5"
"1052","Samd3"
"1053","Depdc7"
"1054","Camk1"
"1055","C1ql2"
"1056","Cxcl12"
"1057","Krt80"
"1058","Slco2a1"
"1059","Sebox"
"1060","Scn4b"
"1061","Pappa2"
"1062","LOC102631735"
"1063","Dppa1"
"1064","Col8a1"
"1065","Diap3"
"1066","Tdo2"
"1067","Amdhd1"
"1068","Neto1"
"1069","Cit"
"1070","Tshz2"
"1071","LOC105244376"
"1072","Trhr"
"1073","Sla2"
"1074","Gpr39"
"1075","Myzap"
"1076","Ctgf"
"1077","Tmem159"
"1078","Stard5"
"1079","Fbln7"
"1080","Lcp1"
"1081","Ccdc88b"
"1082","Amigo2"
"1083","Hs3st4"
"1084","5830416P10Rik"
"1085","LOC102634296"
"1086","Prr13"
"1087","Col12a1"
"1088","Dkk2"
"1089","Acvrl1"
"1090","Il11ra1"
"1091","Tbata"
"1092","Sdc1"
"1093","Abi3bp"
"1094","Mmp11"
"1095","Ptger3"
"1096","LOC105245925"
"1097","Hist1h1c"
"1098","Nrxn3"
"1099","Ly6g6e"
"1100","Trh"
"1101","Avpr1a"
"1102","Clic5"
"1103","Mndal"
"1104","Pln"
"1105","Foxp2"
"1106","Ly6d"
"1107","Gpr139"
"1108","Upb1"
"1109","H60b"
"1110","Krt17"
"1111","Acaa1b"
"1112","Col5a1"
"1113","Sptbn5"
"1114","Anxa4"
"1115","Llgl2"
"1116","LOC105246377"
"1117","Aspg"
"1118","LOC105242740"
"1119","Fancd2"
"1120","Gadd45a"
"1121","Sla"
"1122","Obscn"
"1123","Zfpm2"
"1124","Olfml2b"
"1125","Gng12"
"1126","A730090H04Rik"
"1127","Mgp"
"1128","Ifitm2"
"1129","Serpinb8"
"1130","2900055J20Rik"
"1131","Slc2a13"
"1132","Nxph4"
"1133","Myh3"
"1134","Pmfbp1"
"1135","Rai14"
"1136","Mapk13"
"1137","Mup5"
"1138","Defb1"
"1139","Lman1l"
"1140","Psd4"
"1141","3110079O15Rik"
"1142","5930412G12Rik"
"1143","6530403H02Rik"
"1144","Tnmd"
"1145","Tmem40"
"1146","Cpo"
"1147","Scn10a"
"1148","5730435O14Rik"
"1149","Fbxl7"
"1150","Lpar1"
"1151","Nfe2l3"
"1152","Olfr111"
"1153","Olfr110"
"1154","Itga5"
"1155","Grb7"
"1156","Fhl1"
"1157","P2ry12"
"1158","Serpinb11"
"1159","Rasgrp3"
"1160","Fgf16"
"1161","Ndrg1"
"1162","Irf8"
"1163","Tgfa"
"1164","Synpo2"
"1165","Tcf4"
"1166","Kynu"
"1167","Hsd17b2"
"1168","Nuggc"
"1169","LOC105243156"
"1170","Mup3"
"1171","Cd40"
"1172","Plaur"
"1173","Rgs5"
