"","Gene"
"3825","Ctps"
"3826","Gsk3a"
"3827","Uchl5"
"3828","Chp1"
"3829","Mcfd2"
"3830","Tmod2"
"3831","Gpcpd1"
"3832","Cystm1"
"3833","Kif1b"
"3834","Cpm"
"3835","Aplp2"
"3836","Irgm2"
"3837","Map7d2"
"3838","C3"
"3839","Slc22a18"
"3840","Ifi27l2a"
"3841","Epsti1"
"3842","H2-DMb1"
"3843","Gbp3"
"3844","Timp1"
"3845","Ddx60"
"3846","Tnfsf10"
"3847","H2-Q4"
"3848","Apcdd1"
"3849","Trim12a"
"3850","2610035F20Rik"
"3851","Plscr1"
"3852","Ppic"
"3853","Tap1"
"3854","Alx4"
"3855","Sp140"
"3856","C1s1"
"3857","LOC105244011"
"3858","LOC102638773"
"3859","LOC102638891"
"3860","Pm20d1"
"3861","C2"
"3862","Fanci"
"3863","Pde4c"
"3864","Gucy1b3"
"3865","Apold1"
"3866","Dmd"
"3867","LOC105243532"
"3868","Myocd"
"3869","Ncf2"
"3870","Sh3bgr"
"3871","Fbxl22"
"3872","Zic3"
"3873","Rassf9"
"3874","Mir126a"
"3875","Sigirr"
"3876","Cd93"
"3877","Fli1"
"3878","Atp10a"
"3879","Foxd2os"
"3880","5430416O09Rik"
"3881","Tbx1"
"3882","Hhex"
"3883","Egfl8"
"3884","Alpl"
"3885","Rad54b"
"3886","LOC102638590"
"3887","Eps8l2"
"3888","Smad6"
"3889","Cd300a"
"3890","Tbxas1"
"3891","Dock8"
"3892","Ncf1"
"3893","Il1a"
"3894","LOC105245153"
"3895","Mlxipl"
"3896","Vav1"
"3897","Rragb"
"3898","Clec3b"
"3899","Pear1"
"3900","Slc7a2"
"3901","Pros1"
"3902","Lama2"
"3903","Pkig"
"3904","Snrpc"
"3905","Rtf1"
"3906","Cyr61"
"3907","Hmgn2"
"3908","Pea15a"
"3909","Psmd7"
"3910","Ctnnb1"
"3911","Asap3"
"3912","Nsa2-ps1"
"3913","Dcxr"
"3914","Arxes2"
"3915","Mpzl2"
"3916","Fgl2"
"3917","Col9a2"
"3918","Gas1"
"3919","Syne2"
"3920","Emp1"
"3921","Trim62"
"3922","Cpeb2"
"3923","Gpx8"
"3924","Slc40a1"
"3925","Gimap6"
"3926","Slc16a4"
"3927","Slc12a7"
"3928","Slc52a3"
"3929","Arhgap19"
"3930","Clec10a"
"3931","Lgmn"
"3932","Gstt3"
"3933","Trim25"
"3934","Tnfsf13os"
"3935","Cox6b2"
"3936","Prkcd"
"3937","Slc16a11"
"3938","Col5a2"
"3939","Steap3"
"3940","Ror1"
"3941","Renbp"
"3942","Col4a1"
"3943","Rhoj"
"3944","Serpind1"
"3945","Ehd2"
"3946","Foxf2"
"3947","Rhoh"
"3948","Enpp1"
"3949","Col13a1"
"3950","2700046A07Rik"
"3951","Mrc2"
"3952","Bmp4"
"3953","Mxra8"
"3954","Cd38"
"3955","Slc2a5"
"3956","Scn2a1"
"3957","Hic1"
"3958","Nr1h3"
"3959","Slc12a2"
"3960","Fyn"
"3961","Pbxip1"
"3962","Rcsd1"
"3963","Clec2d"
"3964","Elovl4"
"3965","Ppa1"
"3966","Ap1s2"
"3967","Uchl3"
"3968","Gria4"
"3969","Epdr1"
"3970","Map9"
"3971","Marveld1"
"3972","Tpm1"
"3973","Sorbs1"
"3974","Nfkbia"
"3975","Sgms1"
"3976","Kank3"
"3977","Wasf1"
"3978","Xdh"
"3979","Prkch"
"3980","Rab11fip1"
"3981","Snord35b"
"3982","Sox7"
"3983","Slc39a8"
"3984","Trim16"
"3985","Sf3b1"
"3986","Slc7a5"
"3987","Tax1bp1"
"3988","Psmb7"
"3989","Slc7a1"
"3990","Tfrc"
"3991","Ptgis"
"3992","Jag1"
"3993","5930403L14Rik"
"3994","Plcg2"
"3995","Cmip"
"3996","Ehd4"
"3997","Pla2g4a"
"3998","Sema3f"
"3999","Ptplad2"
"4000","Tslp"
"4001","Cd163"
"4002","Ifi203"
"4003","Ifi204"
"4004","Ccl2"
"4005","Mnda"
"4006","Tnf"
"4007","Lyz1"
"4008","Cd4"
"4009","Gngt2"
"4010","Lag3"
"4011","Gal3st4"
"4012","Soga1"
"4013","Ppcdc"
"4014","Gtf2h2"
"4015","Gfm2"
"4016","Dennd4a"
"4017","Skil"
"4018","Tjp1"
"4019","Nckap1"
"4020","R3hdm1"
